City,Latitude,Longitude,Name,,
Glasgow,55.86386763,-4.252025101,Buchanan Galleries,,
Glasgow,55.85950243,-4.25433872,Princes Square Shopping Centre,,
Glasgow,55.85507452,-4.23707124,The Barras Market,,
Glasgow,55.85427244,-4.199701107,Asda Glasgow Parkhead Forge Superstore,,
Glasgow,55.87208245,-4.137101337,Glasgow Fort,,
Glasgow,55.82206858,-4.341476317,Silverburn,,
Edinburgh,55.93693177,-3.106472848,Fort Kinnaird,,
Edinburgh,55.97116781,-3.171937366,Newkirkgate Shopping Centre,,
Edinburgh,55.91661917,-3.285139761,Westside Plaza,,
Edinburgh,55.93974679,-3.316142115,Morrisons,,
Edinburgh,55.95180049,-3.202376658,Debenhams,,
Dundee,56.4644715,-2.969177087,Wellgate Centre,,
Dundee,56.46045697,-2.971795798,Overgate Shopping Centre,,
Dundee,56.48195288,-2.995779682,Kingsway West Retail Park,,
Dundee,56.46753093,-2.877868397,Marks and Spencer,,
Aberdeen,57.14308774,-2.096583435,Union Square Shopping Centre,,
Aberdeen,57.1457804,-2.09916844,The Trinity Centre,,
Aberdeen,57.14935841,-2.099381105,Bon Accord Aberdeen,,
Aberdeen,57.15919781,-2.114455098,Sainsbury's,,
Aberdeen,57.15120159,-2.171837075,Tesco Superstore,,
Perth,56.39640429,-3.430943615,St John's Shopping Centre,,
Perth,56.399539,-3.441866113,Saint Catherines Retail Park,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,